"date","wave","wave.day","type","cases.stat"
2020-04-23,"Primera",53,"Media móvil de 7 días",1645.28571428571
2020-04-23,"Primera",53,"Spline (df=33)",1633.64481047217
2020-04-23,"Primera",53,"Cambio en spline",0.042038990445485
2020-04-23,"Primera",53,"Índice (día 1 = 100)",8859.23076923077
2020-04-24,"Primera",54,"Casos",1746
2020-04-24,"Primera",54,"Media móvil de 7 días",1632.57142857143
2020-04-24,"Primera",54,"Spline (df=33)",1700.25772959513
2020-04-24,"Primera",54,"Cambio en spline",0.0407756439441174
2020-04-24,"Primera",54,"Índice (día 1 = 100)",8790.76923076923
2020-04-25,"Primera",55,"Casos",1808
2020-04-25,"Primera",55,"Media móvil de 7 días",1685.14285714286
2020-04-25,"Primera",55,"Spline (df=33)",1767.63166387127
2020-04-25,"Primera",55,"Cambio en spline",0.0396257185621949
2020-04-25,"Primera",55,"Índice (día 1 = 100)",9073.84615384615
2020-04-26,"Primera",56,"Casos",1622
2020-04-26,"Primera",56,"Media móvil de 7 días",1704.85714285714
2020-04-26,"Primera",56,"Spline (df=33)",1835.82085987643
2020-04-26,"Primera",56,"Cambio en spline",0.0385765866265503
2020-04-26,"Primera",56,"Índice (día 1 = 100)",9180
2020-04-27,"Primera",57,"Casos",1981
2020-04-27,"Primera",57,"Media móvil de 7 días",1801.14285714286
2020-04-27,"Primera",57,"Spline (df=33)",1904.87956418649
2020-04-27,"Primera",57,"Cambio en spline",0.0376173437285742
2020-04-27,"Primera",57,"Índice (día 1 = 100)",9698.46153846154
2020-04-28,"Primera",58,"Casos",1738
2020-04-28,"Primera",58,"Media móvil de 7 días",1978.71428571429
2020-04-28,"Primera",58,"Spline (df=33)",1974.86202337731
2020-04-28,"Primera",58,"Cambio en spline",0.0367385216926853
2020-04-28,"Primera",58,"Índice (día 1 = 100)",10654.6153846154
2020-04-29,"Primera",59,"Casos",1564
2020-04-29,"Primera",59,"Media móvil de 7 días",2020.14285714286
2020-04-29,"Primera",59,"Spline (df=33)",2045.82248402475
2020-04-29,"Primera",59,"Cambio en spline",0.035931857419634
2020-04-29,"Primera",59,"Índice (día 1 = 100)",10877.6923076923
2020-04-30,"Primera",60,"Casos",2149
2020-04-30,"Primera",60,"Media móvil de 7 días",2071.28571428571
2020-04-30,"Primera",60,"Spline (df=33)",2117.81519270468
2020-04-30,"Primera",60,"Cambio en spline",0.0351901053205269
2020-04-30,"Primera",60,"Índice (día 1 = 100)",11153.0769230769
2020-05-01,"Primera",61,"Casos",2989
2020-05-01,"Primera",61,"Media móvil de 7 días",2147.28571428571
2020-05-01,"Primera",61,"Spline (df=33)",2190.89439599297
2020-05-01,"Primera",61,"Cambio en spline",0.0345068840473076
2020-05-01,"Primera",61,"Índice (día 1 = 100)",11562.3076923077
2020-05-02,"Primera",62,"Casos",2098
2020-05-02,"Primera",62,"Media móvil de 7 días",2263.71428571429
2020-05-02,"Primera",62,"Spline (df=33)",2265.11434046548
